y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
2,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,29,1,0,0,4,1,9,37,9,3,1,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,1,0,4,3,4,0,0,2,0,1,1,0,0,1,1,4,9,1,0,0,0,0,0,0,0,0,0,0
1,0,3,1,0,0,1,0,0,2,0,2,1,2,2,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0
2,0,10,3,0,0,1,0,0,3,0,2,1,0,0,0,1,1,0,0,0,26,0,3,0,0,0,0,0,0,0
0,6,0,0,0,0,0,2,0,0,0,3,1,5,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0
1,0,2,2,0,0,2,0,3,0,3,5,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,1,1,0,1,0,0,1,3,0,0,1,1,0,0,1,0,3,0,6,1,0,0,0,0,0
1,3,1,0,0,0,5,0,0,2,0,4,0,0,2,0,0,0,0,0,0,15,0,1,0,0,3,0,0,0,0
2,4,0,1,1,0,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,2,1,0,0,6,1,0,1,0,2,0,0,0,2,1,1,0,6,4,0,6,0,0,0,0,0,0,0,0
0,0,4,1,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,2,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,0,0,3,3,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0
0,6,2,3,0,0,5,0,0,0,0,3,1,2,6,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0
1,0,5,1,0,0,6,0,0,0,0,6,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,10,0,0,0
0,0,10,1,7,0,6,1,5,6,5,1,0,16,3,0,1,1,0,0,0,0,2,2,0,2,0,8,5,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,3,1,0,8,1,0,0,0,3,0,0,7,0,1,1,0,0,0,0,3,5,0,0,0,5,0,0,0
0,0,1,1,0,0,0,0,0,2,0,1,0,6,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,4,1,0,0,0,7,0,0,0,0,1,0,0,0,0
2,5,2,0,1,0,0,1,0,0,0,1,0,0,0,0,10,1,9,0,0,0,0,0,3,0,0,4,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,6,10,1,0,0,17,1,8,0,8,3,0,0,4,0,1,1,2,6,1,0,0,7,19,0,0,0,3,0,0
1,0,0,1,0,0,7,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,0,0,4,3,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,5,0,1,0,6,0,1,16,1,1,0,5,0,0,5,1,0,0,1,0,6,0,1,0,0,0,0,0,0
0,5,11,5,4,0,12,1,0,2,0,9,3,5,0,8,1,1,0,5,0,0,5,0,5,0,0,0,0,16,0
2,0,8,2,2,0,4,0,2,2,2,4,2,0,0,0,1,3,3,0,0,21,2,1,3,0,1,3,2,0,0
0,0,1,1,0,8,0,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,1,0
2,4,3,1,2,0,3,0,0,2,0,8,2,0,2,0,1,2,0,4,0,26,5,4,0,0,0,0,0,16,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,3,6,0,0,0,7,3,0,2,0,0,0,3,0,0,0,3,0,0,3,26,4,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,3,0,1,5,1,2,6,0,0,0,1,1,0,4,0,2,14,0,0,0,5,0,0,0,0
1,0,5,0,0,0,1,0,1,3,1,2,2,0,2,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,0,0,3,0,0,1,0,0,3,3,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0
1,0,3,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,0,0,0
2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,9,5,0,0,0,0,3,0,0,0
0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,6,1,2,0,2,0,2,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,2,1,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,12,5,1,0,1,0,1,14,0,0,0,0,1,1,0,0,7,7,0,1,0,0,6,4,0,0,1
0,0,3,1,0,0,4,0,1,0,1,4,0,10,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,5,3,2,0,7,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,1,0,0,0,2,0,2,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0
2,1,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,1,0,0,0,1,0,0,0
1,2,6,1,3,0,2,0,1,3,0,3,1,5,3,0,1,1,0,0,0,12,0,3,0,0,0,0,0,1,0
1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,2,1,2,6,7,1,1,0,1,2,0,5,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,1,0
0,0,2,1,5,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7,2,0,5,8,0,3,0,3,0,0,0,0,0,1,1,1,2,0,18,1,1,0,0,0,0,0,0,1
0,0,1,0,3,6,3,1,3,5,3,1,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,2,2
1,4,5,1,0,0,2,0,0,1,0,1,3,0,0,0,0,3,0,3,0,19,3,0,0,0,3,1,0,0,3
1,0,2,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,3
0,0,2,1,0,0,1,2,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,1,0,0
0,0,0,2,0,2,2,3,2,1,2,0,0,5,0,2,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0
0,5,0,0,3,0,2,0,0,4,0,4,0,3,0,0,1,1,0,6,2,0,4,0,1,0,0,0,1,0,0
0,0,9,0,0,9,1,3,0,0,0,1,0,16,0,0,1,1,0,0,0,0,6,0,0,6,0,0,0,3,12
2,0,2,2,0,0,2,0,0,8,0,1,0,0,3,0,1,1,1,0,0,5,0,1,0,0,0,0,0,0,1
0,0,10,0,1,0,4,1,1,1,1,0,0,3,0,0,4,1,0,0,4,1,0,0,3,0,0,0,0,0,0
1,5,5,7,0,0,17,0,8,1,8,8,3,0,0,0,1,1,4,5,0,30,5,0,0,0,2,0,0,16,6
1,8,3,6,0,0,12,0,1,0,1,18,6,0,0,0,1,1,0,5,0,36,5,0,0,0,6,0,0,20,0
0,4,1,1,2,0,6,1,2,5,2,3,1,0,7,4,1,1,0,7,0,0,2,0,0,2,0,0,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,3,0,0,1,0,3,0,4,0,0,2,2,0,0,0,9,0,0,4,0,1,0,0,0,0
0,3,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2
0,3,2,2,0,0,16,1,0,0,0,11,0,2,0,0,1,7,0,8,4,0,6,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,5,8,6,0,0,4,0,0,4,0,4,5,0,0,0,1,1,0,5,0,8,5,2,0,0,0,0,0,16,0
0,3,4,1,6,0,8,1,0,0,0,1,1,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,1,1,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,1,1,0,0,4,0,8,0,0,0,0,0,0,0,0
0,0,8,0,0,0,9,2,3,7,3,11,0,0,4,0,13,20,0,0,2,0,3,1,0,2,0,0,0,0,0
1,0,0,0,0,1,2,0,3,0,3,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
0,0,7,2,3,6,2,1,2,4,2,0,0,6,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,10,2,0,0,7,0,4,18,4,10,4,0,0,0,3,12,0,0,0,27,0,5,0,0,0,0,0,1,0
0,0,9,1,0,0,6,2,0,2,0,1,1,0,0,0,1,1,0,0,4,0,10,0,0,0,0,10,0,0,12
0,0,4,3,7,0,4,1,2,6,2,1,1,0,0,0,1,1,0,0,1,0,0,0,10,0,0,0,4,0,0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,2,0,2,0,3,2,0,0,0
2,0,2,0,1,0,2,0,0,6,0,1,1,0,0,0,1,1,0,0,1,8,5,2,0,0,0,0,1,0,3
1,0,3,0,1,2,6,0,1,0,1,0,0,2,3,0,0,0,0,0,0,17,2,1,0,0,0,0,0,0,0
0,0,14,0,4,2,6,4,4,4,4,4,0,6,0,0,1,1,0,3,4,0,1,0,0,1,0,0,0,0,0
1,5,10,0,0,0,9,0,4,0,4,0,0,0,0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,4,1,1,0,0,0,2,0,0,0,0,0,6,0,0,0
0,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,2,0,0,0,0,4,2,0,0,0,1,1,0,0,0,12,0,0,0,0,0,3,0,0,0
1,2,9,0,0,0,19,0,1,0,1,1,0,0,4,0,0,0,0,0,0,44,1,1,0,0,7,2,0,3,9
2,5,0,0,0,0,1,0,5,0,5,0,0,6,0,3,1,1,0,4,0,0,4,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,1,7,0,3,0,0,0,0,12,5,0,0,0,13,1,0,0,0,0,0,4,0,0,0,0,0,0,0
2,0,4,2,3,4,12,0,2,0,2,7,0,0,0,0,1,1,3,0,0,1,6,0,0,0,3,7,2,0,0
0,0,5,6,9,0,3,1,4,0,4,1,0,0,0,0,1,1,0,0,4,0,0,0,6,0,0,0,0,0,0
2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
0,0,1,2,1,0,8,0,1,2,1,2,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,1,2,0,1,1,0,0,0,1,0,0,0,0,6,3,0,3,0,0,3,0,0,0,0,0,0,0,0
1,0,3,1,0,0,6,0,0,0,0,1,0,0,3,1,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0
0,0,6,1,6,6,13,1,7,0,7,1,0,7,0,0,1,1,0,0,0,0,3,0,0,3,0,0,0,2,4
1,8,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,6,0,32,5,0,0,0,1,0,0,16,0
2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0
0,5,3,7,0,1,9,0,0,0,0,8,9,1,0,0,1,1,0,5,0,0,5,1,0,0,0,0,0,16,0
1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,7,0,0,0,0,2,1,6,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,7,0,14,6,0,0,0,4,0,0,0,4
0,0,12,0,0,0,0,0,4,24,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0
0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,11,5,0,2,0,5,10,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2,0,0,0,1,0,0,2,0,4,1,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,3,1,1,0,1,2,0,3,0,2,3,2,0,0,1,0,0,0,0,0,0,0,3,0,0
0,3,3,0,4,0,4,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,5,0,10,0,2,0,2,3,1,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0
1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0,2,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,5,2,0,0,0
2,4,6,2,3,0,2,1,0,0,0,0,1,0,0,0,1,3,5,0,0,5,0,1,0,0,2,5,0,0,0
1,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,3,1,0,0,3
0,3,10,2,8,0,4,2,4,1,4,4,0,1,0,0,1,1,2,2,2,0,3,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,2,0,1,1,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,8,0,1,0,1,1,0,0,1,0,1,1,0,0,0,15,0,0,0,0,1,0,0,0,0
1,5,0,10,0,0,10,0,0,0,0,20,0,0,0,0,1,1,0,0,0,45,0,0,0,0,20,0,0,0,0
2,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0
0,0,8,0,0,6,7,1,1,0,1,0,0,5,0,0,1,1,5,0,0,4,5,0,0,5,0,0,0,2,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,0,0,0,2,0,3,0,0,1,1,0,4,0,17,0,0,4,0,0,1,0,3,0
0,0,11,0,4,7,5,0,7,5,7,0,1,9,0,0,1,1,0,0,0,0,1,2,0,1,0,9,2,3,0
1,9,3,3,0,0,5,0,1,0,1,6,2,0,0,0,1,1,0,9,0,19,0,0,0,0,0,1,0,0,0
2,0,4,3,8,1,4,1,1,12,1,2,0,1,1,0,1,4,0,2,2,1,5,0,14,0,0,0,0,0,0
0,2,8,0,0,0,6,1,0,0,0,0,0,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,4,0,0,0,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,9,3,0,8,3,0,0,0,0,1,0,0
0,3,6,0,0,0,8,3,0,2,0,0,0,3,0,0,0,3,0,0,3,26,4,0,0,0,0,0,0,0,0
0,2,3,2,1,0,0,1,2,3,2,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0
1,0,0,9,0,0,9,0,10,0,10,3,1,1,2,0,1,1,0,0,0,26,0,0,0,0,3,0,0,0,0
0,0,4,1,0,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0
2,0,1,1,0,0,5,0,1,0,1,5,1,0,3,0,1,1,0,0,0,16,0,8,0,0,0,0,0,0,0
2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,7,0,0,3,0,1,4,5,4,2,0,10,0,0,7,1,0,0,0,0,3,0,0,3,0,0,0,1,0
2,0,1,1,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,0,6,0,0,0,2,0,0,1,0,1,0,2,7,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,2
2,0,1,1,4,0,3,0,2,6,2,3,0,5,0,0,1,1,0,0,2,1,3,0,4,0,0,0,2,0,0
1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,2,0,0,0,0
1,8,0,5,0,0,6,0,6,0,6,0,0,0,0,0,1,1,0,7,0,29,7,0,0,0,2,0,0,16,1
1,0,5,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,13,1,0,0,0,1,0,0,0,3
2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,8,0,10,1,4,0,4,2,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,8,0,0
2,0,2,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0
1,0,0,0,3,0,2,0,0,0,0,4,0,11,0,0,1,1,0,0,2,33,7,0,11,0,0,0,0,0,0
1,0,4,1,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,2
0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,7,0,2,0,2,1,1,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,12,0,0,0,0,1,1,0,0,4
0,0,7,0,2,3,7,2,2,1,2,2,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,12,1,0,0
2,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0
2,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
0,0,1,0,1,12,9,1,0,5,0,0,0,10,0,0,1,1,0,0,0,0,5,0,0,5,0,0,0,3,6
1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,0,0,1,1,0,0,5,0,1,0,0,0,0,3,1,0,0,0,4,0,1,0,0,1,0,0,0,0
1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,7,0,1,0,1,6,0,0,0,0,1,3,0,0,0,17,0,0,0,0,1,0,0,0,0
0,0,2,0,1,3,2,1,0,1,0,3,0,8,0,0,1,1,0,0,0,0,7,0,0,7,5,0,0,3,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,1,1,1,4,1,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,2,0
0,7,4,1,7,0,4,1,1,0,1,1,3,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,1,0,1,2,0,2,1,0,0,0,0,0,0,13,0,0,0,0,2,1,0,0,2
0,0,4,0,8,7,4,1,3,10,3,7,0,12,0,0,1,1,1,0,0,0,1,0,0,1,0,0,6,3,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,8,0,0,3,0,8,0,8,1,0,0,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0
0,3,1,0,0,0,0,1,0,0,0,4,0,0,4,4,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0
2,0,0,0,1,0,3,0,1,2,1,2,0,0,0,0,1,2,0,0,0,4,0,0,0,0,1,0,0,0,0
0,0,3,0,2,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,1,0
0,0,0,7,10,2,8,0,2,0,2,15,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,20,0,1,0
2,0,5,0,0,0,1,0,0,8,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0
0,0,10,4,11,4,5,3,4,6,4,6,1,10,0,0,1,1,0,0,0,0,1,0,0,0,15,0,0,1,1
0,0,4,0,3,0,0,0,0,0,0,0,0,3,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5,1,0,0,2,0,0,1,0,1,3,0,0,0,0,3,0,3,0,21,2,0,0,0,3,1,0,0,3
0,5,5,6,0,0,11,2,0,1,0,5,5,0,0,0,1,1,0,5,0,0,5,1,14,0,0,0,0,16,0
2,1,2,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
0,0,5,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,1,0,0,12,0,3,0,0,0,6,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,6
1,5,0,1,0,0,13,0,2,0,2,3,0,0,0,0,1,1,0,5,0,26,5,0,0,0,2,0,0,21,0
